n;Bubble Sort;Merge Sort;Busca Sequencial;Busca Binaria
809;4306252;264445;971;190
810;4207788;262742;942;70
811;4148947;261620;972;170
812;4180406;262761;952;60
813;4183973;265397;962;160
814;4205682;270436;952;60
815;4202778;265147;932;140
816;4291304;286306;952;80
817;4298828;264785;972;160
818;4216614;264625;942;50
819;4356466;264836;952;130
820;4325077;266769;962;50
821;4419524;267521;961;170
822;4254696;265377;972;40
823;4379820;263624;1022;140
824;4508661;269054;962;51
825;4395629;269405;952;161
826;4375311;265126;952;51
827;4491889;284843;962;160
828;4316020;268804;981;50
829;4484516;268312;982;161
830;4507078;269685;972;70
831;4487200;267290;952;141
832;4344233;268643;961;60
833;4437197;269685;972;150
834;4440031;269474;952;60
835;4559816;279734;1032;170
836;4476982;271138;962;50
837;4538828;284863;992;150
838;4489806;271098;982;50
839;4621001;284663;961;190
840;4510535;272871;992;70
841;4537224;273031;992;190
842;4697494;274884;1002;50
843;4582288;275516;1012;161
844;4607296;276437;1012;60
845;4590514;275165;972;160
846;4737399;275476;992;70
847;4639406;275916;961;170
848;4757787;276628;992;60
849;4653061;282048;982;171
850;4709417;277249;1012;50
851;4725737;278892;992;160
852;4628075;278552;1002;50
853;4721268;276378;962;181
854;4772414;277259;1002;60
855;4729384;275526;1012;160
856;4718554;281597;1092;50
857;4656107;278661;1001;160
858;4776873;281126;1022;40
859;4794366;279033;1002;160
860;4909802;279503;1001;60
861;4772324;278632;992;150
862;4915914;281477;1012;50
863;4770501;278421;982;160
864;4839360;281958;1022;60
865;4727882;280115;1022;150
866;4842917;282589;1093;110
867;4884694;280736;982;160
868;4871179;281006;1022;50
869;4738180;303618;1042;200
870;4896186;282940;1002;50
871;5009659;282810;1022;180
872;4836113;283821;1022;61
873;4938015;286105;1032;171
874;4936843;288901;1002;51
875;4934849;299231;1012;170
876;4969714;286356;1122;40
877;4892639;287508;1032;161
878;4963933;283240;1011;60
879;5019377;285855;1021;160
880;4856412;284563;1002;71
881;4891147;285394;992;141
882;5035056;326001;1072;60
883;5006994;288671;1022;191
884;4996544;288019;1042;60
885;5030007;288149;1022;150
886;5005872;292568;1062;40
887;5101891;286887;1032;191
888;4997806;288470;1022;50
889;5158767;289362;1042;170
